Activos,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA
1,1000016,0,2,6,39,0,2,5,66,0,0,39,9,0
1,1000026,0,1,1,40,0,2,5,70,0,0,41,9,0
1,1000107,1,2,1,40,0,2,5,68,0,0,51,9,0
1,1000125,0,1,1,40,0,2,6,76,0,0,38,9,0
1,1000146,0,1,13,2,1,1,2,26,0,1,49,9,0
1,1000146,0,2,9,36,1,1,2,26,0,1,49,9,0
1,1000146,0,1,9,36,1,1,2,26,0,1,49,9,0
1,1000146,0,2,13,2,1,1,2,26,0,1,49,9,0
1,1000148,0,2,5,12,0,2,8,62,0,0,41,9,0
1,1000349,0,1,13,2,1,0,0,71,0,1,55,9,0
1,1000404,0,1,30,34,1,0,0,45,0,1,44,9,0
1,1000854,0,1,30,34,1,0,0,45,0,1,43,9,0
1,1001050,0,2,8,38,1,1,2,36,0,1,36,9,0
1,1001312,1,2,1,40,0,0,0,70,0,0,57,9,0
1,1002027,1,1,1,40,0,1,2,13,0,0,39,9,0
1,1002027,1,1,1,40,0,1,2,25,0,0,39,9,0
1,1002027,1,1,1,40,0,1,2,20,0,0,39,9,0
1,1002043,1,2,1,40,0,2,5,71,0,0,46,9,0
1,1002094,1,2,1,40,0,2,5,65,0,0,40,9,0
1,1002111,1,1,30,34,1,0,0,45,0,1,43,9,0
1,1002220,0,1,1,40,0,0,0,69,0,0,52,9,0
1,1002322,0,1,13,2,1,1,2,26,0,1,46,9,0
1,1002514,1,1,9,36,1,1,2,27,0,1,44,9,0
1,1002518,0,2,5,12,0,1,2,23,0,0,40,9,0
1,1003380,1,1,30,34,1,0,0,45,0,1,43,9,0
1,1003431,1,2,6,39,0,2,5,76,0,0,49,9,0
1,1003521,1,2,1,40,0,0,0,8,0,0,57,9,0
1,1003522,0,2,1,40,0,0,0,45,0,0,57,9,0
1,1003623,0,2,1,40,0,2,6,70,0,0,43,9,0
1,1003626,1,2,1,40,0,0,0,55,0,0,56,9,0
1,1003628,0,2,1,40,0,0,0,54,0,0,58,9,0
1,1003678,0,2,1,40,0,0,0,73,0,0,50,9,0
1,1003678,0,2,1,40,0,2,5,73,0,0,50,9,0
1,1003678,0,2,1,40,0,0,0,67,0,0,50,9,0
1,1003678,0,2,1,40,0,0,0,46,0,0,50,9,0
1,1003678,0,2,1,40,0,2,5,46,0,0,50,9,0
1,1003679,1,2,5,12,0,2,8,65,0,0,58,9,0
1,1003680,0,2,1,40,0,0,0,51,0,0,58,9,0
1,1003703,0,2,5,12,0,1,2,26,0,0,37,9,0
1,1003714,0,2,1,40,0,2,6,71,0,0,37,9,0
1,1003715,1,1,30,34,1,0,0,5,0,1,47,9,0
1,1003717,0,2,1,40,0,0,0,50,0,0,47,9,0
1,1003718,0,2,1,40,0,2,6,76,0,0,42,9,0
1,1003721,0,2,5,12,0,2,8,62,0,0,47,9,0
1,1003722,0,2,5,12,0,2,8,62,0,0,54,9,0
1,1003742,0,2,1,40,0,0,0,40,0,0,46,9,0
1,1003756,1,2,1,40,0,0,0,57,0,0,53,9,0
1,1003762,0,2,1,40,0,0,0,56,1,0,55,9,0
1,1003771,1,2,5,12,0,2,6,65,0,0,31,9,0
1,1003771,1,2,5,12,0,2,8,65,0,0,31,9,0
1,1003784,0,2,5,12,0,2,8,62,0,0,40,9,0
1,1003786,0,2,5,12,0,2,8,62,0,0,55,9,0
1,1003788,0,2,5,12,0,2,8,62,0,0,48,9,0
1,1003789,1,2,5,12,0,2,7,33,0,0,34,9,0
1,1003789,1,3,5,12,0,2,7,33,0,0,34,9,0
1,1003789,1,4,40,28,0,1,3,33,0,0,34,9,0
1,1003790,0,2,5,12,0,2,8,62,1,0,53,9,0
0,1003791,0,2,5,12,0,2,8,68,0,0,39,9,0
1,1003791,0,2,5,12,0,2,8,68,0,0,39,9,0
1,1003802,0,2,1,40,0,1,2,30,0,0,45,9,0
1,1003822,1,3,11,6,1,1,2,21,0,0,50,9,0
1,1003822,1,2,22,20,1,1,2,21,0,2,50,9,0
1,1003822,1,2,11,6,1,1,2,21,0,0,50,9,0
1,1003822,1,3,22,20,1,1,2,21,0,2,50,9,0
1,1003838,0,2,1,40,0,0,0,51,0,0,49,9,0
1,1003842,0,2,5,12,0,2,8,62,0,0,40,9,0
1,1003847,0,2,5,12,0,2,8,68,0,0,39,9,0
1,1003851,1,2,1,40,0,0,0,50,0,0,49,9,0
1,1003855,0,2,1,40,0,0,0,55,0,0,45,9,0
1,1003856,0,2,1,40,0,0,0,52,0,0,63,9,0
1,1003910,0,2,5,12,0,1,2,32,0,0,44,9,0
1,1003910,0,2,5,12,0,1,2,14,0,0,44,9,0
1,1003914,0,2,1,40,0,0,0,52,0,0,45,9,0
0,1003914,0,2,1,40,0,0,0,52,0,0,45,9,0
1,1003917,0,2,5,12,0,2,7,33,0,0,48,9,0
1,1003917,0,2,5,12,0,1,3,33,0,0,48,9,0
1,1003973,1,2,5,12,0,2,7,33,0,0,42,9,0
1,1003973,1,2,5,12,0,1,3,33,0,0,42,9,0
1,1003976,0,2,5,12,0,2,7,33,0,0,36,9,0
1,1003976,0,2,5,12,0,1,3,33,0,0,36,9,0
1,1003977,0,2,1,40,0,2,7,33,0,0,47,9,0
1,1003977,0,2,1,40,0,1,3,33,0,0,47,9,0
0,1003977,0,2,1,40,0,2,7,33,0,0,47,9,0
1,1003978,0,2,5,12,0,1,3,33,0,0,42,9,0
1,1003978,0,2,5,12,0,2,7,33,0,0,42,9,0
1,1003980,0,2,5,12,0,1,3,11,0,0,36,9,0
1,1003980,0,2,5,12,0,2,7,11,0,0,36,9,0
1,1003984,1,2,1,40,0,0,0,52,0,0,42,9,0
1,1003989,0,2,1,40,0,0,0,50,0,0,47,9,0
1,1003994,1,2,1,40,0,2,8,62,0,0,47,9,0
1,1003995,0,2,1,40,0,0,0,46,0,0,49,9,0
1,1003996,0,2,1,40,0,0,0,39,0,0,48,9,0
1,1004000,1,2,1,40,0,0,0,6,0,0,46,9,0
1,1004013,1,2,1,40,0,0,0,53,0,0,42,9,0
0,1004014,0,2,1,40,0,0,0,54,0,0,42,9,0
1,1004014,0,2,1,40,0,0,0,54,0,0,42,9,0
1,1004015,0,2,1,40,0,0,0,0,0,0,47,9,0
1,1004019,0,2,1,40,0,0,0,45,0,0,45,9,0
1,1004021,0,2,1,40,0,0,0,9,0,0,47,9,0
1,1004022,0,2,1,40,0,0,0,40,0,0,45,9,0
1,1004023,1,2,1,40,0,0,0,44,1,0,42,9,0
