,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA,Activos
6262,1029143,0,1,22,20,1,1,4,32,0,2,23,9,0,1
6263,1029143,0,1,22,20,1,1,4,30,0,2,23,9,0,1
6264,1029155,1,1,17,44,1,0,10,6,0,0,28,9,0,1
6265,1029155,1,1,17,44,1,0,10,4,0,0,28,9,0,1
6266,1029157,0,1,1,40,0,0,0,60,0,0,42,7,0,1
6267,1029179,0,1,40,28,0,1,2,25,0,0,25,9,0,1
6268,1029179,0,1,21,22,1,1,2,25,0,2,25,9,0,1
6269,1029179,0,1,25,17,1,1,2,25,0,2,25,9,0,1
6270,1029179,0,1,16,4,1,1,2,25,0,2,25,9,0,1
6271,1029179,0,1,28,18,0,1,2,25,0,0,25,9,0,1
6272,1029183,1,1,9,36,1,1,2,25,0,1,24,9,0,1
6273,1029183,1,1,28,18,0,1,2,25,0,0,24,9,0,1
6274,1029184,0,1,40,28,0,1,2,23,0,0,24,9,0,1
6275,1029185,1,1,15,1,1,1,9,14,0,0,48,9,0,1
6276,1029185,1,1,15,1,1,1,9,14,0,0,48,9,1,1
6277,1029185,1,1,15,1,1,1,9,31,0,0,48,9,1,1
6278,1029185,1,1,5,12,0,1,9,31,0,0,48,9,1,1
6279,1029194,0,1,40,28,0,0,0,55,0,0,43,9,0,1
6280,1029194,0,1,36,9,1,0,0,55,0,2,43,9,0,1
6281,1029194,0,1,35,10,1,0,0,55,0,2,43,9,0,1
6282,1029196,1,1,9,36,1,1,9,31,0,1,21,9,0,1
6283,1029196,1,2,9,36,1,1,9,31,0,1,21,9,0,1
6284,1029196,1,3,16,4,1,1,9,31,0,2,21,9,0,1
6285,1029197,0,1,9,36,1,1,4,31,0,1,30,9,0,1
6286,1029198,0,1,9,36,1,1,4,31,0,1,23,9,0,1
6287,1029202,1,2,22,20,1,1,9,32,0,2,26,9,0,1
6288,1029202,1,1,9,36,1,1,9,31,0,1,26,9,0,1
6289,1029202,1,3,16,4,1,1,9,32,0,2,26,9,0,1
6290,1029232,0,1,16,4,1,0,0,48,0,2,33,8,0,1
6291,1029232,0,2,16,4,1,0,0,48,0,2,33,8,0,1
6292,1029232,0,2,22,20,1,0,0,48,0,2,33,8,0,1
6293,1029232,0,3,16,4,1,0,0,48,0,2,33,8,0,1
6294,1029232,0,3,22,20,1,0,0,48,0,2,33,8,0,1
6295,1029235,1,1,1,40,0,0,0,60,0,0,44,16,0,1
6296,1029242,0,1,9,36,1,1,4,38,0,1,43,1,0,1
6297,1029262,0,1,22,20,1,1,4,32,0,2,43,9,0,1
6298,1029266,0,1,41,25,1,1,4,32,0,2,46,9,0,1
6299,1029266,0,1,15,1,1,1,4,32,0,0,46,9,0,1
6300,1029266,0,1,22,20,1,1,4,32,0,2,46,9,0,1
6301,1029283,0,4,40,28,0,1,4,38,0,0,24,9,0,1
6302,1029283,0,2,41,25,1,1,4,38,0,2,24,9,0,1
6303,1029283,0,1,9,36,1,1,4,38,0,1,24,9,0,1
6304,1029283,0,3,34,9,1,1,4,38,0,1,24,9,0,1
6305,1029283,0,3,40,28,0,1,4,38,0,0,24,9,0,1
6306,1029283,0,2,34,9,1,1,4,38,0,1,24,9,0,1
6307,1029283,0,3,41,25,1,1,4,38,0,2,24,9,0,1
6308,1029283,0,4,34,9,1,1,4,38,0,1,24,9,0,1
6309,1029291,1,1,30,34,1,1,2,38,0,1,36,9,0,1
6310,1029291,1,1,40,28,0,1,2,38,0,0,36,9,0,1
6311,1029308,0,1,30,34,1,1,2,23,0,1,47,9,0,1
6312,1029332,0,1,22,20,1,2,8,62,0,2,32,9,0,1
6313,1029332,0,1,16,4,1,2,8,62,0,2,32,9,0,1
6314,1029332,0,1,15,1,1,2,8,62,0,0,32,9,0,1
6315,1029336,0,1,28,18,0,2,6,35,0,0,32,9,0,1
6316,1029337,0,1,41,25,1,1,3,33,0,2,26,20,0,1
6317,1029344,0,1,41,25,1,1,4,31,0,2,32,9,0,1
6318,1029345,0,1,30,34,1,1,4,26,0,1,29,9,0,1
6319,1029350,0,1,20,43,1,0,0,49,0,2,41,9,0,1
6320,1029350,0,2,16,4,1,0,0,49,0,2,41,9,0,1
6321,1029350,0,1,16,4,1,0,0,49,0,2,41,9,0,1
6322,1029350,0,2,20,43,1,0,0,49,0,2,41,9,0,1
6323,1029356,0,2,9,36,1,1,4,26,0,1,47,15,0,1
6324,1029356,0,4,16,4,1,1,4,26,0,2,47,15,0,1
6325,1029356,0,1,9,36,1,1,4,26,0,1,47,15,0,1
6326,1029356,0,4,22,20,1,1,4,26,0,2,47,15,0,1
6327,1029356,0,3,22,20,1,1,4,38,0,2,47,15,0,1
6328,1029356,0,3,16,4,1,1,4,38,0,2,47,15,0,1
6329,1029359,0,1,32,7,1,1,4,31,0,0,32,9,0,1
6330,1029359,0,1,41,25,1,1,4,31,0,2,32,9,0,1
6331,1029373,0,2,41,25,1,1,4,31,0,2,49,9,0,1
6332,1029373,0,2,22,20,1,1,4,31,0,2,49,9,0,1
6333,1029373,0,2,9,36,1,1,4,31,0,1,49,9,0,1
6334,1029373,0,1,41,25,1,1,4,31,0,2,49,9,0,1
6335,1029373,0,1,9,36,1,1,4,31,0,1,49,9,0,1
6336,1029376,0,2,9,36,1,1,4,31,0,1,46,9,0,1
6337,1029376,0,1,9,36,1,1,4,31,0,1,46,9,0,1
6338,1029376,0,2,9,36,1,1,4,31,0,1,46,9,0,1
6339,1029376,0,1,9,36,1,1,4,31,0,1,46,9,0,1
6340,1029377,1,2,20,43,1,1,2,14,0,2,43,9,0,1
6341,1029377,1,1,15,1,1,1,2,14,0,0,43,9,0,1
6342,1029377,1,1,20,43,1,1,2,14,0,2,43,9,0,1
6343,1029377,1,2,15,1,1,1,2,14,0,0,43,9,0,1
6344,1029380,0,2,13,2,1,1,2,30,0,1,56,9,0,1
6345,1029380,0,1,13,2,1,1,2,30,0,1,56,9,0,1
6346,1029380,0,2,13,2,1,1,2,30,0,1,56,9,0,1
6347,1029380,0,1,13,2,1,1,2,30,0,1,56,9,0,1
6348,1029386,1,1,28,18,0,1,2,32,0,0,35,9,0,1
6349,1029389,0,1,15,1,1,1,2,21,0,0,32,9,0,1
6350,1029406,0,1,15,1,1,1,4,30,0,0,24,9,0,1
6351,1029413,0,1,22,20,1,1,2,31,0,2,34,9,0,1
6352,1029416,1,1,1,40,0,0,0,61,0,0,35,8,0,1
6353,1029418,1,1,1,40,0,0,0,61,0,0,39,9,0,1
6354,1029419,0,1,20,43,1,0,0,41,0,2,36,9,0,1
6355,1029419,0,1,16,4,1,0,0,41,0,2,36,9,0,1
6356,1029420,0,1,20,43,1,1,2,31,0,2,42,9,0,1
6357,1029420,0,1,28,18,0,1,2,31,0,0,42,9,0,1
6358,1029420,0,1,16,4,1,1,2,31,0,2,42,9,0,1
6359,1029425,0,1,36,9,1,0,0,55,0,2,32,9,0,1
6360,1029425,0,2,22,20,1,0,0,55,0,2,32,9,0,1
6361,1029427,0,1,36,9,1,0,0,55,0,2,31,9,0,1
6362,1029428,0,1,13,2,1,1,2,23,0,1,27,9,0,1
6363,1029430,0,1,15,1,1,1,2,14,1,0,37,9,0,1
6364,1029430,0,1,5,12,0,1,2,14,1,0,37,9,0,1
6365,1029432,0,1,18,42,1,1,2,23,0,2,31,9,1,1
6366,1029432,0,1,18,42,1,1,2,23,0,2,31,9,2,1
6367,1029432,0,1,40,28,0,1,2,23,0,0,31,9,2,1
6368,1029435,0,1,16,4,1,1,2,33,0,2,31,9,0,1
6369,1029435,0,2,16,4,1,1,2,33,0,2,31,9,0,1
6370,1029435,0,1,20,43,1,1,2,31,0,2,31,9,0,1
6371,1029435,0,1,20,43,1,1,2,33,0,2,31,9,0,1
6372,1029435,0,2,20,43,1,1,2,33,0,2,31,9,0,1
6373,1029438,0,1,15,1,1,1,2,32,0,0,47,9,0,1
6374,1029438,0,2,20,43,1,1,2,32,0,2,47,9,0,1
6375,1029438,0,1,20,43,1,1,2,32,0,2,47,9,0,1
6376,1029438,0,2,15,1,1,1,2,32,0,0,47,9,0,1
6377,1029439,0,1,1,40,0,0,0,60,0,0,37,5,0,1
6378,1029442,0,1,40,28,0,1,2,31,0,0,26,9,0,1
