,Activos,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA
0,1,1000016,0,2,6,39,0,2,5,66,0,0,39,9,0
1,1,1000026,0,1,1,40,0,2,5,70,0,0,41,9,0
2,1,1000107,1,2,1,40,0,2,5,68,0,0,51,9,0
3,1,1000125,0,1,1,40,0,2,6,76,0,0,38,9,0
4,1,1000146,0,1,13,2,1,1,2,26,0,1,49,9,0
5,1,1000146,0,2,9,36,1,1,2,26,0,1,49,9,0
6,1,1000146,0,1,9,36,1,1,2,26,0,1,49,9,0
7,1,1000146,0,2,13,2,1,1,2,26,0,1,49,9,0
8,1,1000148,0,2,5,12,0,2,8,62,0,0,41,9,0
9,1,1000349,0,1,13,2,1,0,0,71,0,1,55,9,0
10,1,1000404,0,1,30,34,1,0,0,45,0,1,44,9,0
11,1,1000854,0,1,30,34,1,0,0,45,0,1,43,9,0
12,1,1001050,0,2,8,38,1,1,2,36,0,1,36,9,0
13,1,1001312,1,2,1,40,0,0,0,70,0,0,57,9,0
14,1,1002027,1,1,1,40,0,1,2,13,0,0,39,9,0
15,1,1002027,1,1,1,40,0,1,2,25,0,0,39,9,0
16,1,1002027,1,1,1,40,0,1,2,20,0,0,39,9,0
17,1,1002043,1,2,1,40,0,2,5,71,0,0,46,9,0
18,1,1002094,1,2,1,40,0,2,5,65,0,0,40,9,0
19,1,1002111,1,1,30,34,1,0,0,45,0,1,43,9,0
20,1,1002220,0,1,1,40,0,0,0,69,0,0,52,9,0
21,1,1002322,0,1,13,2,1,1,2,26,0,1,46,9,0
22,1,1002514,1,1,9,36,1,1,2,27,0,1,44,9,0
23,1,1002518,0,2,5,12,0,1,2,23,0,0,40,9,0
24,1,1003380,1,1,30,34,1,0,0,45,0,1,43,9,0
25,1,1003431,1,2,6,39,0,2,5,76,0,0,49,9,0
26,1,1003521,1,2,1,40,0,0,0,8,0,0,57,9,0
27,1,1003522,0,2,1,40,0,0,0,45,0,0,57,9,0
28,1,1003623,0,2,1,40,0,2,6,70,0,0,43,9,0
29,1,1003626,1,2,1,40,0,0,0,55,0,0,56,9,0
30,1,1003628,0,2,1,40,0,0,0,54,0,0,58,9,0
